Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
11:14:00 AM		2003	Marcks, Greg 	4.28	USA 		Hurlbut, Shane 	Lebental, D. & Nord, R. 	
21		2008	Luketic, Robert 	3.63			Carpenter, Russell 	Graham, Elliot 	
300		2007	Snyder, Zack 	4.17	USA 	s 	Fong, Larry 	Hoy, William 	
2012		2009	Emmerich, Roland 	3	USA 	s 	Semler, Dean 	Brenner, David & Elliot, Peter S. 	
$ 	Dollars 	1972	Brooks, Richard 	4.9		s 	Schloemp, Petrus 	Grenville, George 	
*Batteries Not Included 		1987	Robbins, Matthew 	7.3	USA 		McPherson, John 		
[Rec]3 Génesis 		2012	Plaza, Paco 	4.22	SPA 	s 	Rosso, Pablo 	Callart, David 	
1 Day 		2009	Woolcock, Penny 	5.79	BRI 		Smith, Graham 	Dinwoodie, John 	
10		1979	Edwards, Blake 	11.89	USA 	s 	Stanley, Frank 	Winters, Ralph 	ORI
10 Things I Hate About You 		1999	Junger, Gil 	6.7	USA 		Irwin, Mark 	Brown, O. Nicholas 	
10 Years 		2011	Linden, Jamie 	5.75	USA 		Fierberg, Steven 	Pushinsky, Jake 	
10,000 BC 		2008	Emmerich, Roland 	2.82	USA 	s 	Steiger, Ueli 	Berner, Alexander 	WAR
101 Dalmatians 		1996	Herek, Stephen 	3.5	USA 		Biddle, Adrian 	Ship, Trudy 	DIS
101 Reykjavik 		2000	Kormakur, Baltasar 	7.8			Steuger, Peter 	Karason, Eriksen, Ka 	
102 Dalmatians 		2000	Lima, Kevin 	3.2	USA 		Biddle, Adrian 	Perler, Gregory 	DIS
10th. & Wolf 		2006	Morresco, Bobby 	3.86	USA 	s 	Nepomniaschy, Alex 	Rosenstock, Harvey 	
127 Hours 		2011	Boyle, Danny 	3.5			Mantle, Anthony Dod & Chediak, Enrique 	Harris, Jon 	
13 Assassins 		2010	Takashi Miike 	6.12		s 	Kita Nobuyasu 	Yamashita Kenji 	
13 Going on 30 		2004	Winick, Gary 	4.97	USA 		Burgess, Don 	Littenberg, Susan 	REV
13 Rue Madeleine 		1946	Hathaway, Henry 	7.5	USA 		Brodine, Norbert 	Jones, Harmon 	FOX
13 Tzameti 		2005	Babluani, Gela 	6.82			Meliava, Tariel 		
13th. Warrior, The 		1999	McTiernan, John 	4.1	USA 	s 	Menzies, Jr., Peter 	Wright, John 	TOU
15 Minutes 		2001	Herzfeld, John 	3.6	USA 	s 	Escoffier, Jean Yves 	Cohen, Steven 	NLI
16 Blocks 		2006	Donner, Richard 	3.28		s 	MacPherson, Glen 	Mirkovitch, Steve 	
17 Again 		2009	Steers, Burr 	3.16	USA 	s 	Suhrstedt, Tim 	McKinley, Padraic 	NLI
1793		1914	Capellani, Albert 	12.5	FRA 		Trimbach, Pierre 		SCA
1941		1979	Spielberg, Steven 	5.5	USA 		Fraker, William 		
1942: A Love Story 		1994	Chopra, Vidhu Vinod 	6.6	IND 		Pradhan, Binod 	Saluja, Renu 	
2 Days in Paris 		2006	Delpy, Julie 	4.67			Bakchev, Lubomir 	Delpy, Julie 	
2 Fast, 2 Furious 		2003	Singleton, John 	2.36		s 	Leonetti, Matthew F. 	Cannon, B. & Puett, 	
20 Dates 		1998	Berkowitz, Myles 	7.3	USA 		Biggs, Adam 	Elliot, M. & Cheek, 	
20 Fingers 		2004	Akbari, Mania 	475.7	IRA 		Aslani, Toraj 		
20 Million Miles to Earth 		1957	Juran, Nathan 	4.93	USA 		Lippman, Irving & Ventimiglia, Carlos 	Bryant, Edwin 	
20,000 Leagues Under the Sea 		1954	Fleischer, Richard 	8.97	USA 	s 	Planer, Franz 	Williams, Elmo 	DIS
2001 Maniacs 		2005	Sullivan, Tim 	3.14	USA 		Adcock, Steve 	Ross, Michael 	
2001: A Space Odyssey 		1968	Kubrick, Stanley 	13.19	USA 	s 	Unsworth, Geoffrey 	Lovejoy, Ray 	MGM
2046		2004	Wong Kar Wai 	8.64	CHI 		Doyle, Christopher 	Chang Sung Ping 	
21 Days 		1937	Dean, Basil 	6.5	BRI 		Stallich, Jan 	Crichton, Charles 	LON
21 Grams 		2003	Inarritu, Alejandro Gonzalez 	4.54			Prieto, Rodrigo 	Mirione, Stephen 	
21 Jump Street 		2012	Lord, Phil & Miller, Christopher 	2.48	USA 		Peterson, Barry 	Negron, Joel 	
23 Paces to Baker Street 		1956	Hathaway, Henry 	10.29	USA 	s 	Krasner, Milton 	Clark, James B. 	FOX
24 Hour Party People 		2001	Winterbottom, Michael 	5.4	BRI 		Müller, Robby 	Waite, Trevor 	
25th. Hour 		2002	Lee, Spike 	4.42	USA 		Prieto, Rodrigo 	Brown, Barry Alexand 	TOU
27 Dresses 		2008	Fletcher, Anne 	4.04	USA 	s 	James, Peter 	Nedd Friendly, Priscilla 	
28 Days 		2000	Thomas, Betty 	4.6	USA 		Quinn, Declan 	Teschner, Peter 	COL
28 Days Later 		2002	Boyle, Danny 	3.71			Mantle, Anthony Dod 	Gill, Chris 	
28 Weeks Later 		2007	Fresnadillo, Juan Carlos 	2.42			Chedniak, Enrique 	Gill, Chris 	
29 Acacia Avenue 		1945	Cass, Henry 	13.6	BRI 				
3 Ninjas 		1992	Turtletaub, Jon 	2.9	USA 		Michalak, Richard 	Rennie, David 	
3 Ninjas: High Noon at Mega Mountain 		1998	McNamara, Sean 	3			Evans, Blake 	Szanto, Annamaria 	TRI
3 Women 		1977	Altman, Robert 	10	USA 	s 	Rosher Jr., Charles 	Hill, Dennis 	FOX
3.10 to Yuma 		1957	Daves, Delmer 	6.3	USA 		Lawton, Charles 	Clark, Al 	COL
3:10 to Yuma 		2007	Mangold, James 	3.53	USA 	s 	Papamichael, Phedon 	McCusker, Michael 	
03:15:00 AM	Time to Die, A 	1986	Gross, Larry 	5.4	USA 		Suslov, Misha 	Kemper, Steven 	
30 Days of Night 		2007	Slade, David 	2.8	USA 		Willems, Jon 	Jones, Art 	
300 Spartans, The 		1962	Maté, Rudolph 	6.5	USA 	s 	Unsworth, Geoffrey 	Webb, Jerome 	FOX
3000 miles to Graceland 		2000	Lichtenstein, Demian 	2.2	USA 		Franco, David 	Duthie & Wright, M. 	FRA
35 Rhums 	35 Shots of Rum 	2008	Denis, Claire 	11.51			Godard, Agn?s 	Lacome, Guy 	
36 Quai des Orf?vres 	36	2004	Marchal, Olivier 	4.39	FRA 		Rouden, Denis 	Hachdé 	
37.2 Le Matin 	Betty Blue 	1986	Beineix, Jean-Jacques 	13	FRA 		Robin, Jean-Francois 	Prim, Monique 	CPC
4 Months, 3 Weeks and 2 Days 		2007	Mungiu, Cristian 	92.69	RUM 		Mutu, Oleg 	Bunescu, Dana 	
4: Rise of the Silver Surfer 	Rise of the Silver Surfer 	2007	Story, Tim 	2.69	USA 	s 	Blanford, Larry 	Hoy, W. & Elliot, P 	
