TITLE	YEAR	Director	Pan	Tilt	PanwTilt	Track	TrwPan	TrwPanTilt	Crane	Zoom	Total
10 Things I Hate About You 	1999	Junger, Gil 	12	3	6	20	32	18	10	1	102
Almost Perfect Affair, An 	1979	Michael Ritchie 	41	6	6	15	52	2	2	1	122
Amityville horror, The 	1979	Stuart Rosenberg 	43	13	16	16	16	2	18	4	106
Angela's Ashes 	1999	Parker, Alan 	21	3	14	9	4	1	0	1	53
Annie Hall 	1977	Allen, Woody 	35	4	5	27	35	0	0	0	106
Another Thin Man 	1939	Van Dyke, W.S. 	41	6	6	15	52	2			122
Arsenal Stadium Mystery, The 	1939	Dickinson, Thorold 	4	35	14	6	7	0		0	121
At the Circus 	1939	Bussell, Edward 	43	13	16	16	16	2			106
Back Street 	1941	Stevenson, Robert 	13	0	6	12	19	5	2	0	57
Behemoth, The Sea Monster 	1959	Lourié, Eugene 	20	7	14	23	8	1	0	1	74
Ben-Hur 	1959	Wyler, William 	24	12	14	55	12	3	4	0	123
Best of Everything, The 	1959	Negulesco, Jean 	54	7	18	21	45	11	0	0	156
Black Stallion, The 	1979	Carroll Ballard 	49	0	19	32	47	0	1	0	147
Blair Witch Project, The 	1999	Myrick, D & Sanchez, E. 	12	12	79	24	15	137	0	31	310
Blind Alley 	1939	Vidor, Charles 	49	0	19	32	47				147
Broadway Danny Rose 	1984	Allen, Woody 	61	0	16	12	28	2	6	5	130
Brokedown Palace 	1999	Kaplan, Jonathan 	20	2	23	19	15	15	10	0	104
Cat and the Canary, The 	1939	Nugent Elliott 	59	4	18	24	39				144
Caught 	1949	Ophuls, Max 	23	2	12	30	65	25	0	0	157
Champ, The 	1979	Franco Zeffirelli 	59	4	18	24	39	0	16	10	144
Compulsion 	1959	Fleischer, Richard 	19	4	3	17	19	10	5	0	77
Crazy in Alabama 	1999	Banderas, Antonio 	16	6	12	27	21	7	6	0	93
Cuba 	1979	Richard Lester 	47	4	20	22	33	0	6	2	127
Darby O'Gill and the Little People 	1959	Stevenson, Robert 	24	4	9	5	2	1	0	0	44
Dark City 	1998	Proyas, Alex 	15	10	11	22	1	6	35	0	100
De Mayerling à Sarajevo 	1940	Ophuls, Max 	48	4	4	18	15	4	2	0	95
Deep Blue Sea 	1999	Harlin, Renny 	14	7	8	27	9	7	2	0	74
Destry Rides Again 	1939	Marshall, George 	47	4	20	22	33	1			127
Detroit Rock City 	1999	Rifkin, Adam 	14	8	15	27	10	13	2	7	96
Dracula 	1979	John Badham 	50	7	44	28	31	0	2	1	160
Driller Killer 	1979	Abel Ferrara 	55	1	3	6	3	0	14	3	68
Each Dawn I Die 	1939	Keighley, William 	50	7	44	28	31				160
EDtv 	1999	Howard, Ron 	15	3	11	29	9	11	3	5	86
Exile, The 	1948	Ophuls, Max 	29	1	17	19	37	22	17	0	142
