Title	Year	Director	ASL	RA	POV	INS	COUNTRY	ITITLE	BCU	CU	MCU	MS	MLS	LS	VLS
10 Things I Hate About You 	1999	Junger, Gil 	6.7	58	4	2	USA 	0	64	224	82	37	36	53	3
Adventures of Robin Hood, The 	1938	Curtiz, M. & Keighley, W. 	5	0	0	0	USA 	0	3	53	71	77	109	111	76
Affairs of Anatole, The 	1921	DeMille, Cecil B. 	8	23	16	9	USA 	159	33	26	89	141	136	70	5
Alexander Nevsky 	1938	Eisenstein, Sergei 	7	0	0	0	RUS 	7	1	61	100	58	76	186	23
Alley Cat 	1929	Steinhoff, Hans 	6	10	0	0	BRI 	148	17	68	84	82	101	142	5
Almost Perfect Affair, An 	1979	Michael Ritchie 	4.2	64	12	7	USA 		70	199	93	51	26	51	9
American Tragedy, An 	1931	Sternberg, Josef von 	13	0	0	0	USA 	0	27	75	75	95	98	108	20
Amityville Horror, The 	1979	Stuart Rosenberg 	5.5	33	7	18	USA 		138	141	50	34	41	90	6
Angela's Ashes 	1999	Parker, Alan 	3.9	31	4	10	USA 	0	52	152	72	60	68	88	4
Angst 	1928	Steinhoff, Hans 	5.5	16	11	11	GER 	181	38	91	71	82	93	118	8
Annelie 	1941	Baky, Josef von 	12	32	8	8	GER 	0	24	78	85	95	124	87	6
Annie Hall 	1977	Allen, Woody 	14.4	43	9	6	USA 		7	166	69	105	55	93	7
Another Thin Man 	1939	Van Dyke, W.S. 	7.7	37	7	4	USA 		20	137	99	93	84	64	3
Appel du Sang, L' 	1919	Mercanton, Louis 	7.6	10	12	8	FRA 	102	27	7	21	57	168	204	13
Arlésienne, l' 	1922	Antoine, André 	6.2	7	4	4	FRA 	187	6	39	59	42	84	247	22
Arsenal Stadium Mystery, The 	1939	Dickinson, Thorold 	6.4	17	12	10	BRI 		25	77	102	96	77	106	17
At the Circus 	1939	Bussell, Edward 	7.6	16	6	6	USA 		13	31	63	98	119	166	10
Atlantide, L' 	1921	Feyder, Jacques 	8	0	0	0	FRA 	204	3	35	43	134	131	111	45
Atre, l' 	1923	Boudrioz, Robert 	4.8	24	18	8	FRA 	70	11	25	64	81	104	179	35
Avenging Conscience, The 	1914	Griffith, D.W. 	7.5	0	0	7	USA 	66	36	16	18	80	121	215	14
Aventure Malgache 	1944	Hitchcock, Alfred 	22	14	2	7	BRI 	0	25	6	74	142	142	111	0
Back Street 	1941	Stevenson, Robert 	8	0	0	0	USA 	0	42	124	99	89	69	59	19
Barberousse 	1916	Gance, Abel 	13.5	18	16	11	FRA 	48	39	43	54	109	118	118	22
Baywatch 	1994		3.4	36	11	0	USA 	0	33	142	69	66	77	104	9
Beetle Juice 	1984	Burton, Tim 	4.2	44	10	11	USA 	0	44	166	106	50	66	55	12
Behemoth, The Sea Monster 	1959	Lourié, Eugene 	5.6	25	12	19	USA 		45	108	52	45	65	141	44
Belle Nivernaise, la 	1924	Epstein, Jean 	5.2	18	9	16	FRA 	37	57	91	43	67	62	147	33
Bergkatze, Die 	1921	Lubitsch, Ernst 	10	0	0	0	GER 	97	4	22	22	59	99	261	32
Best of Everything, The 	1959	Negulesco, Jean 	11.3	35	5	5	USA 		25	137	103	69	116	43	7
Beyond a Reasonable Doubt 	1956	Lang, Fritz 	16.5	0	0	0	USA 	0	32	47	117	140	102	57	5
Big Broadcast of 1937, The 	1936	Leisen, Mitchell 	11	0	0	0	USA 	0	25	42	63	113	115	98	45
Bill, The  (Mix and Match) 	1994		5.2	53	9	0	BRI 	0	38	207	100	56	45	50	4
Bill, The (Dealer Wins) 	1994		4.3	66	0	0	BRI 	0	72	250	113	34	20	2	0
Birds, The 	1963	Hitchcock, Alfred 	5.3	46	23	15	USA 	0	59	127	111	69	57	58	19
Birth of a Nation 	1915	Griffith, D.W. 	7	0	0	0	USA 	177	1	19	26	78	126	172	79
Black Stallion, The 	1979	Carroll Ballard 	4.9	27	14	30	USA 		85	111	66	47	46	128	17
Blackmail (Silent version) 	1929	Hitchcock, Alfred 	6	19	18	15	BRI 	119	39	49	67	85	137	113	10
Blackmail (Sound version) 	1929	Hitchcock, Alfred 	11	22	22	18	BRI 	0	42	41	87	74	112	128	16
Blair Witch Project, The 	1999	Myrick, D & Sanchez, E. 	15.8	1	2	44	USA 	0	96	74	70	93	88	79	0
